game_id,game_dt,home_team,away_team,goal_scorer_team,goal_min,goal_ind,score,result
1,09/08/2019 14:00,Liverpool,Norwich,LIV,7,1,,4 - 1
1,09/08/2019 14:00,Liverpool,Norwich,LIV,19,1,,4 - 1
1,09/08/2019 14:00,Liverpool,Norwich,LIV,28,1,,4 - 1
1,09/08/2019 14:00,Liverpool,Norwich,LIV,42,1,,4 - 1
1,09/08/2019 14:00,Liverpool,Norwich,NOR,64,1,4 - 1,4 - 1
2,10/08/2019 06:30,West Ham,Man City,MC,25,1,,0 - 5
2,10/08/2019 06:30,West Ham,Man City,MC,51,1,,0 - 5
2,10/08/2019 06:30,West Ham,Man City,MC,75,1,,0 - 5
2,10/08/2019 06:30,West Ham,Man City,MC,86,1,,0 - 5
2,10/08/2019 06:30,West Ham,Man City,MC,90,1,,0 - 5
2,10/08/2019 06:30,West Ham,Man City,WHU,90,0,0 - 5,0 - 5
3,10/08/2019 09:00,Bournemouth,Sheffield Utd,BOU,62,1,,1 - 1
3,10/08/2019 09:00,Bournemouth,Sheffield Utd,SHU,88,1,1 - 1,1 - 1
4,10/08/2019 09:00,Burnley,Southampton,BUR,63,1,,3 - 0
4,10/08/2019 09:00,Burnley,Southampton,BUR,70,1,,3 - 0
4,10/08/2019 09:00,Burnley,Southampton,BUR,75,1,,3 - 0
4,10/08/2019 09:00,Burnley,Southampton,SOU,90,0,3 - 0,3 - 0
5,10/08/2019 09:00,Crystal Palace,Everton,CP,90,0,,0 - 0
5,10/08/2019 09:00,Crystal Palace,Everton,EVE,90,0,0 - 0,0 - 0
6,10/08/2019 09:00,Watford,Brighton,BHA,28,1,,0 - 3
6,10/08/2019 09:00,Watford,Brighton,BHA,65,1,,0 - 3
6,10/08/2019 09:00,Watford,Brighton,BHA,77,1,,0 - 3
6,10/08/2019 09:00,Watford,Brighton,WAT,90,0,0 - 3,0 - 3
7,10/08/2019 11:30,Spurs,Aston Villa,AVL,9,1,,3 - 1
7,10/08/2019 11:30,Spurs,Aston Villa,TOT,73,1,,3 - 1
7,10/08/2019 11:30,Spurs,Aston Villa,TOT,86,1,,3 - 1
7,10/08/2019 11:30,Spurs,Aston Villa,TOT,90,1,3 - 1,3 - 1
8,11/08/2019 08:00,Leicester,Wolves,LC,90,0,,0 - 0
8,11/08/2019 08:00,Leicester,Wolves,WOL,90,0,0 - 0,0 - 0
9,11/08/2019 08:00,Newcastle,Arsenal,ARS,58,1,,0 - 1
9,11/08/2019 08:00,Newcastle,Arsenal,NEW,90,0,0 - 1,0 - 1
10,11/08/2019 10:30,Man Utd,Chelsea,MU,18,1,,4 - 0
10,11/08/2019 10:30,Man Utd,Chelsea,MU,65,1,,4 - 0
10,11/08/2019 10:30,Man Utd,Chelsea,MU,67,1,,4 - 0
10,11/08/2019 10:30,Man Utd,Chelsea,MU,81,1,,4 - 0
10,11/08/2019 10:30,Man Utd,Chelsea,CHE,90,0,4-0,4 - 0
11,17/08/2019 06:30,Arsenal,Burnley,ARS,13,1,,2 - 1
11,17/08/2019 06:30,Arsenal,Burnley,BUR,43,1,,2 - 1
11,17/08/2019 06:30,Arsenal,Burnley,ARS,64,1,2 - 1,2 - 1
12,17/08/2019 09:00,Aston Villa,Bournemouth,BOU,2,1,,1 - 2
12,17/08/2019 09:00,Aston Villa,Bournemouth,BOU,12,1,,1 - 2
12,17/08/2019 09:00,Aston Villa,Bournemouth,AVL,71,1,1 - 2,1 - 2
13,17/08/2019 09:00,Brighton,West Ham,WHU,61,1,,1 - 1
13,17/08/2019 09:00,Brighton,West Ham,BHA,65,1,1 - 1,1 - 1
14,17/08/2019 09:00,Everton,Watford,EVE,10,1,,1 - 0
14,17/08/2019 09:00,Everton,Watford,WAT,90,0,1-0,1 - 0
15,17/08/2019 09:00,Norwich,Newcastle,NOR,32,1,,3 - 1
15,17/08/2019 09:00,Norwich,Newcastle,NOR,63,1,,3 - 1
15,17/08/2019 09:00,Norwich,Newcastle,NOR,75,1,,3 - 1
15,17/08/2019 09:00,Norwich,Newcastle,NEW,90,1,3 - 1,3 - 1
16,17/08/2019 09:00,Southampton,Liverpool,LIV,45,1,,1 - 2
16,17/08/2019 09:00,Southampton,Liverpool,LIV,71,1,,1 - 2
16,17/08/2019 09:00,Southampton,Liverpool,SOU,83,1,1 - 2,1 - 2
17,17/08/2019 11:30,Man City,Spurs,MC,20,1,,2 - 2
17,17/08/2019 11:30,Man City,Spurs,TOT,23,1,,2 - 2
17,17/08/2019 11:30,Man City,Spurs,MC,35,1,,2 - 2
17,17/08/2019 11:30,Man City,Spurs,TOT,56,1,2 - 2,2 - 2
18,18/08/2019 08:00,Sheffield Utd,Crystal Palace,SHU,47,1,,1 - 0
18,18/08/2019 08:00,Sheffield Utd,Crystal Palace,CP,90,0,1 - 0,1 - 0
19,18/08/2019 10:30,Chelsea,Leicester,CHE,7,1,,1 - 1
19,18/08/2019 10:30,Chelsea,Leicester,LC,67,1,1 - 1,1 - 1
20,19/08/2019 14:00,Wolves,Man Utd,MU,27,1,,1 - 1
20,19/08/2019 14:00,Wolves,Man Utd,WOL,55,1,1 - 1,1 - 1
21,23/08/2019 14:00,Aston Villa,Everton,AVL,21,1,,2 - 0
21,23/08/2019 14:00,Aston Villa,Everton,AVL,90,1,,2 - 0
21,23/08/2019 14:00,Aston Villa,Everton,EVE,90,0,2 - 0,2 - 0
22,24/08/2019 06:30,Norwich,Chelsea,CHE,3,1,,2 - 3
22,24/08/2019 06:30,Norwich,Chelsea,NOR,6,1,,2 - 3
22,24/08/2019 06:30,Norwich,Chelsea,CHE,17,1,,2 - 3
22,24/08/2019 06:30,Norwich,Chelsea,NOR,30,1,,2 - 3
22,24/08/2019 06:30,Norwich,Chelsea,CHE,68,1,2 - 3,2 - 3
23,24/08/2019 09:00,Brighton,Southampton,BHA,55,1,,0 - 2
23,24/08/2019 09:00,Brighton,Southampton,BHA,90,1,,0 - 2
23,24/08/2019 09:00,Brighton,Southampton,SOU,90,0,0 - 2,0 - 2
24,24/08/2019 09:00,Man Utd,Crystal Palace,CP,32,1,,1 - 2
24,24/08/2019 09:00,Man Utd,Crystal Palace,MU,89,1,,1 - 2
24,24/08/2019 09:00,Man Utd,Crystal Palace,CP,90,1,1 - 2,1 - 2
25,24/08/2019 09:00,Sheffield Utd,Leicester,LC,38,1,,1 - 2
25,24/08/2019 09:00,Sheffield Utd,Leicester,SHU,62,1,,1 - 2
25,24/08/2019 09:00,Sheffield Utd,Leicester,LC,70,1,1 - 2,1 - 2
26,24/08/2019 09:00,Watford,West Ham,WHU,3,1,,1 - 3
26,24/08/2019 09:00,Watford,West Ham,WAT,17,1,,1 - 3
26,24/08/2019 09:00,Watford,West Ham,WHU,64,1,,1 - 3
26,24/08/2019 09:00,Watford,West Ham,WHU,73,1,1 - 3,1 - 3
27,24/08/2019 11:30,Liverpool,Arsenal,LIV,41,1,,3 - 1
27,24/08/2019 11:30,Liverpool,Arsenal,LIV,49,1,,3 - 1
27,24/08/2019 11:30,Liverpool,Arsenal,LIV,58,1,,3 - 1
27,24/08/2019 11:30,Liverpool,Arsenal,ARS,85,1,3 - 1,3 - 1
28,25/08/2019 08:00,Bournemouth,Man City,MC,15,1,,1 - 3
28,25/08/2019 08:00,Bournemouth,Man City,MC,43,1,,1 - 3
28,25/08/2019 08:00,Bournemouth,Man City,BOU,45,1,,1 - 3
28,25/08/2019 08:00,Bournemouth,Man City,MC,64,1,1 - 3,1 - 3
29,25/08/2019 10:30,Spurs,Newcastle,NEW,27,1,,0 - 1
29,25/08/2019 10:30,Spurs,Newcastle,TOT,90,0,0 - 1,0 - 1
30,25/08/2019 10:30,Wolves,Burnley,BUR,13,1,,1 - 1
30,25/08/2019 10:30,Wolves,Burnley,WOL,90,1,1 - 1,1 - 1
31,31/08/2019 06:30,Southampton,Man Utd,MU,10,1,,1 - 1
31,31/08/2019 06:30,Southampton,Man Utd,SOU,58,1,1 - 1,1 - 1
32,31/08/2019 09:00,Chelsea,Sheffield Utd,CHE,19,1,,2 - 2
32,31/08/2019 09:00,Chelsea,Sheffield Utd,CHE,43,1,,2 - 2
32,31/08/2019 09:00,Chelsea,Sheffield Utd,SHU,46,1,,2 - 2
32,31/08/2019 09:00,Chelsea,Sheffield Utd,SHU,89,1,2 - 2,2 - 2
33,31/08/2019 09:00,Crystal Palace,Aston Villa,CP,73,1,,1 - 0
33,31/08/2019 09:00,Crystal Palace,Aston Villa,AVL,90,0,1 - 0,1 - 0
34,31/08/2019 09:00,Leicester,Bournemouth,LC,12,1,,3 - 1
34,31/08/2019 09:00,Leicester,Bournemouth,BOU,15,1,,3 - 1
34,31/08/2019 09:00,Leicester,Bournemouth,LC,41,1,,3 - 1
34,31/08/2019 09:00,Leicester,Bournemouth,LC,73,1,3 - 1,3 - 1
35,31/08/2019 09:00,Man City,Brighton,MC,2,1,,4 - 0
35,31/08/2019 09:00,Man City,Brighton,MC,42,1,,4 - 0
35,31/08/2019 09:00,Man City,Brighton,MC,55,1,,4 - 0
35,31/08/2019 09:00,Man City,Brighton,MC,79,1,,4 - 0
35,31/08/2019 09:00,Man City,Brighton,BHA,90,0,4 - 0,4 - 0
36,31/08/2019 09:00,Newcastle,Watford,WAT,2,1,,1 - 1
36,31/08/2019 09:00,Newcastle,Watford,NEW,41,1,1 - 1,1 - 1
37,31/08/2019 09:00,West Ham,Norwich,WHU,24,1,,2 - 0
37,31/08/2019 09:00,West Ham,Norwich,WHU,56,1,,2 - 0
37,31/08/2019 09:00,West Ham,Norwich,NOR,90,0,2 - 0,2 - 0
38,31/08/2019 11:30,Burnley,Liverpool,LIV,33,1,,0 - 3
38,31/08/2019 11:30,Burnley,Liverpool,LIV,37,1,,0 - 3
38,31/08/2019 11:30,Burnley,Liverpool,LIV,80,1,,0 - 3
38,31/08/2019 11:30,Burnley,Liverpool,BUR,90,0,0 - 3,0 - 3
39,01/09/2019 08:00,Everton,Wolves,EVE,5,1,,3 - 2
39,01/09/2019 08:00,Everton,Wolves,WOL,9,1,,3 - 2
39,01/09/2019 08:00,Everton,Wolves,EVE,12,1,,3 - 2
39,01/09/2019 08:00,Everton,Wolves,WOL,75,1,,3 - 2
39,01/09/2019 08:00,Everton,Wolves,EVE,80,1,3 - 2,3 - 2
40,01/09/2019 10:30,Arsenal,Spurs,TOT,10,1,,2 - 2
40,01/09/2019 10:30,Arsenal,Spurs,TOT,40,1,,2 - 2
40,01/09/2019 10:30,Arsenal,Spurs,ARS,45,1,,2 - 2
40,01/09/2019 10:30,Arsenal,Spurs,ARS,71,1,2 - 2,2 - 2
41,14/09/2019 06:30,Liverpool,Newcastle,NEW,7,1,,3 - 1
41,14/09/2019 06:30,Liverpool,Newcastle,LIV,28,1,,3 - 1
41,14/09/2019 06:30,Liverpool,Newcastle,LIV,40,1,,3 - 1
41,14/09/2019 06:30,Liverpool,Newcastle,LIV,72,1,3 - 1,3 - 1
42,14/09/2019 09:00,Brighton,Burnley,BHA,51,1,,1 - 1
42,14/09/2019 09:00,Brighton,Burnley,BUR,90,1,1 - 1,1 - 1
43,14/09/2019 09:00,Man Utd,Leicester,MU,8,1,,1 - 0
43,14/09/2019 09:00,Man Utd,Leicester,LC,90,0,1 - 0,1 - 0
44,14/09/2019 09:00,Sheffield Utd,Southampton,SOU,66,1,,0 - 1
44,14/09/2019 09:00,Sheffield Utd,Southampton,SHU,90,0,0 - 1,0 - 1
45,14/09/2019 09:00,Spurs,Crystal Palace,TOT,10,1,,4 - 0
45,14/09/2019 09:00,Spurs,Crystal Palace,TOT,21,1,,4 - 0
45,14/09/2019 09:00,Spurs,Crystal Palace,TOT,23,1,,4 - 0
45,14/09/2019 09:00,Spurs,Crystal Palace,TOT,42,1,,4 - 0
45,14/09/2019 09:00,Spurs,Crystal Palace,CP,90,0,4 - 0,4 - 0
46,14/09/2019 09:00,Wolves,Chelsea,CHE,31,1,,2 - 5
46,14/09/2019 09:00,Wolves,Chelsea,CHE,34,1,,2 - 5
46,14/09/2019 09:00,Wolves,Chelsea,CHE,41,1,,2 - 5
46,14/09/2019 09:00,Wolves,Chelsea,CHE,55,1,,2 - 5
46,14/09/2019 09:00,Wolves,Chelsea,WOL,69,1,,2 - 5
46,14/09/2019 09:00,Wolves,Chelsea,WOL,85,1,,2 - 5
46,14/09/2019 09:00,Wolves,Chelsea,CHE,90,1,2 - 5,2 - 5
47,14/09/2019 11:30,Norwich,Man City,NOR,18,1,,3 - 2
47,14/09/2019 11:30,Norwich,Man City,NOR,28,1,,3 - 2
47,14/09/2019 11:30,Norwich,Man City,MC,45,1,,3 - 2
47,14/09/2019 11:30,Norwich,Man City,NOR,50,1,,3 - 2
47,14/09/2019 11:30,Norwich,Man City,MC,88,1,3 - 2,3 - 2
48,15/09/2019 08:00,Bournemouth,Everton,BOU,23,1,,3 - 1
48,15/09/2019 08:00,Bournemouth,Everton,EVE,44,1,,3 - 1
48,15/09/2019 08:00,Bournemouth,Everton,BOU,67,1,,3 - 1
48,15/09/2019 08:00,Bournemouth,Everton,BOU,72,1,3 - 1,3 - 1
49,15/09/2019 10:30,Watford,Arsenal,ARS,21,1,,2 - 2
49,15/09/2019 10:30,Watford,Arsenal,ARS,32,1,,2 - 2
49,15/09/2019 10:30,Watford,Arsenal,WAT,53,1,,2 - 2
49,15/09/2019 10:30,Watford,Arsenal,WAT,81,1,2 - 2,2 - 2
50,16/09/2019 14:00,Aston Villa,West Ham,AVL,90,0,,0 - 0
50,16/09/2019 14:00,Aston Villa,West Ham,WHU,90,0,0 - 0,0 - 0
51,20/09/2019 14:00,Southampton,Bournemouth,BOU,10,1,,1 - 3
51,20/09/2019 14:00,Southampton,Bournemouth,BOU,35,1,,1 - 3
51,20/09/2019 14:00,Southampton,Bournemouth,SOU,53,1,,1 - 3
51,20/09/2019 14:00,Southampton,Bournemouth,BOU,90,1,1 - 3,1 - 3
52,21/09/2019 06:30,Leicester,Spurs,TOT,29,1,,2 - 1
52,21/09/2019 06:30,Leicester,Spurs,LC,69,1,,2 - 1
52,21/09/2019 06:30,Leicester,Spurs,LC,85,1,2 - 1,2 - 1
53,21/09/2019 09:00,Burnley,Norwich,BUR,10,1,,2 - 0
53,21/09/2019 09:00,Burnley,Norwich,BUR,14,1,,2 - 0
53,21/09/2019 09:00,Burnley,Norwich,NOR,90,0,2 - 0,2 - 0
54,21/09/2019 09:00,Everton,Sheffield Utd,SHU,40,1,,0 - 2
54,21/09/2019 09:00,Everton,Sheffield Utd,SHU,79,1,,0 - 2
54,21/09/2019 09:00,Everton,Sheffield Utd,EVE,90,0,0 - 2,0 - 2
55,21/09/2019 09:00,Man City,Watford,MC,1,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,7,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,12,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,15,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,18,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,48,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,60,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,MC,84,1,,8 - 0
55,21/09/2019 09:00,Man City,Watford,WAT,90,0,8 - 0,8 - 0
56,21/09/2019 11:30,Newcastle,Brighton,NEW,90,0,,0 - 0
56,21/09/2019 11:30,Newcastle,Brighton,BHA,90,0,0 - 0,0 - 0
57,22/09/2019 08:00,Crystal Palace,Wolves,CP,46,1,,1 - 1
57,22/09/2019 08:00,Crystal Palace,Wolves,WOL,90,1,1 - 1,1 - 1
58,22/09/2019 08:00,West Ham,Man Utd,WHU,44,1,,2 - 0
58,22/09/2019 08:00,West Ham,Man Utd,WHU,84,1,,2 - 0
58,22/09/2019 08:00,West Ham,Man Utd,MU,90,0,2 - 0,2 - 0
59,22/09/2019 10:30,Arsenal,Aston Villa,AVL,29,1,,3 - 2
59,22/09/2019 10:30,Arsenal,Aston Villa,ARS,59,1,,3 - 2
59,22/09/2019 10:30,Arsenal,Aston Villa,AVL,60,1,,3 - 2
59,22/09/2019 10:30,Arsenal,Aston Villa,ARS,81,1,,3 - 2
59,22/09/2019 10:30,Arsenal,Aston Villa,ARS,84,1,3 - 2,3 - 2
60,22/09/2019 10:30,Chelsea,Liverpool,LIV,14,1,,1 - 2
60,22/09/2019 10:30,Chelsea,Liverpool,LIV,30,1,,1 - 2
60,22/09/2019 10:30,Chelsea,Liverpool,CHE,71,1,1 - 2,1 - 2
61,28/09/2019 06:30,Sheffield Utd,Liverpool,LIV,70,1,,0 - 1
61,28/09/2019 06:30,Sheffield Utd,Liverpool,SHU,90,0,0 - 1,0 - 1
62,28/09/2019 09:00,Bournemouth,West Ham,WHU,10,1,,2 - 2
62,28/09/2019 09:00,Bournemouth,West Ham,BOU,17,1,,2 - 2
62,28/09/2019 09:00,Bournemouth,West Ham,BOU,46,1,,2 - 2
62,28/09/2019 09:00,Bournemouth,West Ham,WHU,74,1,2 - 2,2 - 2
63,28/09/2019 09:00,Aston Villa,Burnley,AVL,33,1,,2 - 2
63,28/09/2019 09:00,Aston Villa,Burnley,BUR,68,1,,2 - 2
63,28/09/2019 09:00,Aston Villa,Burnley,AVL,79,1,,2 - 2
63,28/09/2019 09:00,Aston Villa,Burnley,BUR,81,1,2 - 2,2 - 2
64,28/09/2019 09:00,Chelsea,Brighton,CHE,50,1,,2 - 0
64,28/09/2019 09:00,Chelsea,Brighton,CHE,76,1,,2 - 0
64,28/09/2019 09:00,Chelsea,Brighton,BHA,90,0,2 - 0,2 - 0
65,28/09/2019 09:00,Crystal Palace,Norwich,CP,21,1,,2 - 0
65,28/09/2019 09:00,Crystal Palace,Norwich,CP,90,1,,2 - 0
65,28/09/2019 09:00,Crystal Palace,Norwich,NOR,90,0,2 - 0,2 - 0
66,28/09/2019 09:00,Spurs,Southampton,TOT,24,1,,2 - 1
66,28/09/2019 09:00,Spurs,Southampton,SOU,39,1,,2 - 1
66,28/09/2019 09:00,Spurs,Southampton,TOT,43,1,2 - 1,2 - 1
67,28/09/2019 09:00,Wolves,Watford,WOL,18,1,,2 - 0
67,28/09/2019 09:00,Wolves,Watford,WOL,61,1,,2 - 0
67,28/09/2019 09:00,Wolves,Watford,WAT,90,0,2 - 0,2 - 0
68,28/09/2019 11:30,Everton,Man City,MC,24,1,,1 - 3
68,28/09/2019 11:30,Everton,Man City,EVE,33,1,,1 - 3
68,28/09/2019 11:30,Everton,Man City,MC,71,1,,1 - 3
68,28/09/2019 11:30,Everton,Man City,MC,84,1,1 - 3,1 - 3
69,29/09/2019 10:30,Leicester,Newcastle,LC,16,1,,5 - 0
69,29/09/2019 10:30,Leicester,Newcastle,LC,54,1,,5 - 0
69,29/09/2019 10:30,Leicester,Newcastle,LC,57,1,,5 - 0
69,29/09/2019 10:30,Leicester,Newcastle,LC,64,1,,5 - 0
69,29/09/2019 10:30,Leicester,Newcastle,LC,90,1,,5 - 0
69,29/09/2019 10:30,Leicester,Newcastle,NEW,90,0,5 - 0,5 - 0
70,30/09/2019 14:00,Man Utd,Arsenal,ARS,45,1,,1 - 1
70,30/09/2019 14:00,Man Utd,Arsenal,MU,58,1,1 - 1,1 - 1
71,05/10/2019 06:30,Brighton,Spurs,BHA,3,1,,3 - 0
71,05/10/2019 06:30,Brighton,Spurs,BHA,32,1,,3 - 0
71,05/10/2019 06:30,Brighton,Spurs,BHA,65,1,,3 - 0
71,05/10/2019 06:30,Brighton,Spurs,TOT,90,0,3 - 0,3 - 0
72,05/10/2019 09:00,Burnley,Everton,BUR,72,1,,1 - 0
72,05/10/2019 09:00,Burnley,Everton,EVE,90,0,1 - 0,1 - 0
73,05/10/2019 09:00,Liverpool,Leicester,LIV,40,1,,2 - 1
73,05/10/2019 09:00,Liverpool,Leicester,LC,80,1,,2 - 1
73,05/10/2019 09:00,Liverpool,Leicester,LIV,90,1,2 - 1,2 - 1
74,05/10/2019 09:00,Norwich,Aston Villa,AVL,14,1,,1 - 5
74,05/10/2019 09:00,Norwich,Aston Villa,AVL,30,1,,1 - 5
74,05/10/2019 09:00,Norwich,Aston Villa,AVL,49,1,,1 - 5
74,05/10/2019 09:00,Norwich,Aston Villa,AVL,61,1,,1 - 5
74,05/10/2019 09:00,Norwich,Aston Villa,AVL,83,1,,1 - 5
74,05/10/2019 09:00,Norwich,Aston Villa,NOR,87,1,1 - 5,1 - 5
75,05/10/2019 09:00,Watford,Sheffield Utd,WAT,90,0,,0 - 0
75,05/10/2019 09:00,Watford,Sheffield Utd,SHU,90,0,0 - 0,0 - 0
76,05/10/2019 11:30,West Ham,Crystal Palace,WHU,54,1,,1 - 2
76,05/10/2019 11:30,West Ham,Crystal Palace,CP,63,1,,1 - 2
76,05/10/2019 11:30,West Ham,Crystal Palace,CP,87,1,1 - 2,1 - 2
77,06/10/2019 08:00,Arsenal,Bournemouth,ARS,9,1,,1 - 0
77,06/10/2019 08:00,Arsenal,Bournemouth,BOU,90,0,1 - 0,1 - 0
78,06/10/2019 08:00,Man City,Wolves,WOL,80,1,,0 - 2
78,06/10/2019 08:00,Man City,Wolves,WOL,90,1,,0 - 2
78,06/10/2019 08:00,Man City,Wolves,MC,90,0,0 - 2,0 - 2
79,06/10/2019 08:00,Southampton,Chelsea,CHE,17,1,,1 - 4
79,06/10/2019 08:00,Southampton,Chelsea,CHE,24,1,,1 - 4
79,06/10/2019 08:00,Southampton,Chelsea,SOU,30,1,,1 - 4
79,06/10/2019 08:00,Southampton,Chelsea,CHE,40,1,,1 - 4
79,06/10/2019 08:00,Southampton,Chelsea,CHE,89,1,1 - 4,1 - 4
80,06/10/2019 10:30,Newcastle,Man Utd,NEW,72,1,,1 - 0
80,06/10/2019 10:30,Newcastle,Man Utd,MU,90,0,1 - 0,1 - 0
81,19/10/2019 06:30,Everton,West Ham,EVE,17,1,,2 - 0
81,19/10/2019 06:30,Everton,West Ham,EVE,90,1,,2 - 0
81,19/10/2019 06:30,Everton,West Ham,WHU,90,0,2 - 0,2 - 0
82,19/10/2019 09:00,Bournemouth,Norwich,BOU,90,0,,0 - 0
82,19/10/2019 09:00,Bournemouth,Norwich,NOR,90,0,0 - 0,0 - 0
83,19/10/2019 09:00,Aston Villa,Brighton,BHA,21,1,,2 - 1
83,19/10/2019 09:00,Aston Villa,Brighton,AVL,45,1,,2 - 1
83,19/10/2019 09:00,Aston Villa,Brighton,AVL,90,1,2 - 1,2 - 1
84,19/10/2019 09:00,Chelsea,Newcastle,CHE,73,1,,1 - 0
84,19/10/2019 09:00,Chelsea,Newcastle,NEW,90,0,1 - 0,1 - 0
85,19/10/2019 09:00,Leicester,Burnley,BUR,26,1,,2 - 1
85,19/10/2019 09:00,Leicester,Burnley,LC,45,1,,2 - 1
85,19/10/2019 09:00,Leicester,Burnley,LC,74,1,2 - 1,2 - 1
86,19/10/2019 09:00,Spurs,Watford,WAT,6,1,,1 - 1
86,19/10/2019 09:00,Spurs,Watford,TOT,86,1,1 - 1,1 - 1
87,19/10/2019 09:00,Wolves,Southampton,SOU,53,1,,1 - 1
87,19/10/2019 09:00,Wolves,Southampton,WOL,61,1,1 - 1,1 - 1
88,19/10/2019 11:30,Crystal Palace,Man City,MC,39,1,,0 - 2
88,19/10/2019 11:30,Crystal Palace,Man City,MC,41,1,,0 - 2
88,19/10/2019 11:30,Crystal Palace,Man City,CP,90,0,0 - 2,0 - 2
