team_id,team_name,opp_team_id,opp_name,game_id,game_dt,goal_min,goals_for,goals_against,goal_time
ARS,Arsenal,NEW,Newcastle,9,2019-08-11T08:00:00Z,58,1,0,46 - 60
ARS,Arsenal,NEW,Newcastle,9,2019-08-11T08:00:00Z,90,0,0,after 75
ARS,Arsenal,BUR,Burnley,11,2019-08-17T06:30:00Z,13,1,0,0-15
ARS,Arsenal,BUR,Burnley,11,2019-08-17T06:30:00Z,43,0,1,30 - 45
ARS,Arsenal,BUR,Burnley,11,2019-08-17T06:30:00Z,64,1,0,61 - 75
ARS,Arsenal,LIV,Liverpool,27,2019-08-24T11:30:00Z,41,0,1,30 - 45
ARS,Arsenal,LIV,Liverpool,27,2019-08-24T11:30:00Z,49,0,1,46 - 60
ARS,Arsenal,LIV,Liverpool,27,2019-08-24T11:30:00Z,58,0,1,46 - 60
ARS,Arsenal,LIV,Liverpool,27,2019-08-24T11:30:00Z,85,1,0,after 75
ARS,Arsenal,TOT,Spurs,40,2019-09-01T10:30:00Z,10,0,1,0-15
ARS,Arsenal,TOT,Spurs,40,2019-09-01T10:30:00Z,40,0,1,30 - 45
ARS,Arsenal,TOT,Spurs,40,2019-09-01T10:30:00Z,45,1,0,30 - 45
ARS,Arsenal,TOT,Spurs,40,2019-09-01T10:30:00Z,71,1,0,61 - 75
ARS,Arsenal,WAT,Watford,49,2019-09-15T10:30:00Z,21,1,0,15 - 29
ARS,Arsenal,WAT,Watford,49,2019-09-15T10:30:00Z,32,1,0,30 - 45
ARS,Arsenal,WAT,Watford,49,2019-09-15T10:30:00Z,53,0,1,46 - 60
ARS,Arsenal,WAT,Watford,49,2019-09-15T10:30:00Z,81,0,1,after 75
ARS,Arsenal,AVL,Aston Villa,59,2019-09-22T10:30:00Z,29,0,1,15 - 29
ARS,Arsenal,AVL,Aston Villa,59,2019-09-22T10:30:00Z,59,1,0,46 - 60
ARS,Arsenal,AVL,Aston Villa,59,2019-09-22T10:30:00Z,60,0,1,46 - 60
ARS,Arsenal,AVL,Aston Villa,59,2019-09-22T10:30:00Z,81,1,0,after 75
ARS,Arsenal,AVL,Aston Villa,59,2019-09-22T10:30:00Z,84,1,0,after 75
ARS,Arsenal,MU,Man Utd,70,2019-09-30T14:00:00Z,45,1,0,30 - 45
ARS,Arsenal,MU,Man Utd,70,2019-09-30T14:00:00Z,58,0,1,46 - 60
ARS,Arsenal,BOU,Bournemouth,77,2019-10-06T08:00:00Z,9,1,0,0-15
ARS,Arsenal,BOU,Bournemouth,77,2019-10-06T08:00:00Z,90,0,0,after 75
ARS,Arsenal,SHU,Sheffield Utd,90,2019-10-21T14:00:00Z,30,0,1,30 - 45
ARS,Arsenal,SHU,Sheffield Utd,90,2019-10-21T14:00:00Z,90,0,0,after 75
ARS,Arsenal,CP,Crystal Palace,98,2019-10-27T11:30:00Z,7,1,0,0-15
ARS,Arsenal,CP,Crystal Palace,98,2019-10-27T11:30:00Z,9,1,0,0-15
