team_id,opp_team_id,game_id,game_dt,result,team_goals,opp_goals,points_earned,mins
ARS,NEW,9,2019-08-11T08:00:00Z,W,1,0,3,90
ARS,BUR,11,2019-08-17T06:30:00Z,W,2,1,3,90
ARS,LIV,27,2019-08-24T11:30:00Z,L,1,3,0,90
ARS,TOT,40,2019-09-01T10:30:00Z,D,2,2,1,90
ARS,WAT,49,2019-09-15T10:30:00Z,D,2,2,1,90
ARS,AVL,59,2019-09-22T10:30:00Z,W,3,2,3,90
ARS,MU,70,2019-09-30T14:00:00Z,D,1,1,1,90
ARS,BOU,77,2019-10-06T08:00:00Z,W,1,0,3,90
ARS,SHU,90,2019-10-21T14:00:00Z,L,0,1,0,90
ARS,CP,98,2019-10-27T11:30:00Z,D,2,2,1,90
ARS,WOL,102,2019-11-02T10:00:00Z,D,1,1,1,90
ARS,LC,117,2019-11-09T11:30:00Z,L,0,2,0,90
ARS,SOU,123,2019-11-23T09:00:00Z,D,2,2,1,90
ARS,NOR,137,2019-12-01T08:00:00Z,D,2,2,1,90
ARS,BHA,150,2019-12-05T14:15:00Z,L,1,2,0,90
ARS,WHU,160,2019-12-09T14:00:00Z,W,3,1,3,90
ARS,MC,169,2019-12-15T10:30:00Z,L,0,3,0,90
ARS,EVE,171,2019-12-21T06:30:00Z,D,0,0,1,90
ARS,BOU,181,2019-12-26T09:00:00Z,D,1,1,1,90
ARS,CHE,197,2019-12-29T08:00:00Z,L,1,2,0,90
ARS,MU,208,2020-01-01T14:00:00Z,W,2,0,3,90
ARS,CP,211,2020-01-11T06:30:00Z,D,1,1,1,90
ARS,SHU,221,2020-01-18T09:00:00Z,D,1,1,1,90
ARS,CHE,235,2020-01-21T14:15:00Z,D,2,2,1,90
ARS,BUR,249,2020-02-02T08:00:00Z,D,0,0,1,90
ARS,NEW,258,2020-02-16T10:30:00Z,W,4,0,3,90
ARS,EVE,269,2020-02-23T10:30:00Z,W,3,2,3,90
ARS,WHU,280,2020-03-07T09:00:00Z,W,1,0,3,90
AVL,TOT,7,2019-08-10T11:30:00Z,L,1,3,0,90
AVL,BOU,12,2019-08-17T09:00:00Z,L,1,2,0,90
AVL,EVE,21,2019-08-23T14:00:00Z,W,2,0,3,90
AVL,CP,33,2019-08-31T09:00:00Z,L,0,1,0,90
AVL,WHU,50,2019-09-16T14:00:00Z,D,0,0,1,90
AVL,ARS,59,2019-09-22T10:30:00Z,L,2,3,0,90
AVL,BUR,63,2019-09-28T09:00:00Z,D,2,2,1,90
AVL,NOR,74,2019-10-05T09:00:00Z,W,5,1,3,90
AVL,BHA,83,2019-10-19T09:00:00Z,W,2,1,3,90
AVL,MC,92,2019-10-26T06:30:00Z,L,0,3,0,90
AVL,LIV,103,2019-11-02T10:00:00Z,L,1,2,0,90
AVL,WOL,119,2019-11-10T08:00:00Z,L,1,2,0,90
AVL,NEW,130,2019-11-25T14:00:00Z,W,2,0,3,90
AVL,MU,140,2019-12-01T10:30:00Z,D,2,2,1,90
AVL,CHE,146,2019-12-04T13:30:00Z,L,1,2,0,90
AVL,LC,156,2019-12-08T08:00:00Z,L,1,4,0,90
AVL,SHU,165,2019-12-14T09:00:00Z,L,0,2,0,90
AVL,SOU,173,2019-12-21T09:00:00Z,L,1,3,0,90
AVL,NOR,182,2019-12-26T09:00:00Z,W,1,0,3,90
AVL,WAT,193,2019-12-28T09:00:00Z,L,0,3,0,90
AVL,BUR,201,2020-01-01T06:30:00Z,W,2,1,3,90
AVL,MC,219,2020-01-12T09:30:00Z,L,1,6,0,90
AVL,BHA,222,2020-01-18T09:00:00Z,D,1,1,1,90
AVL,WAT,231,2020-01-21T13:30:00Z,W,2,1,3,90
AVL,BOU,242,2020-02-01T09:00:00Z,L,1,2,0,90
AVL,TOT,257,2020-02-16T08:00:00Z,L,2,3,0,90
AVL,SOU,265,2020-02-22T09:00:00Z,L,0,2,0,90
AVL,LC,288,2020-03-09T15:00:00Z,L,0,4,0,90
BOU,SHU,3,2019-08-10T09:00:00Z,D,1,1,1,90
BOU,AVL,12,2019-08-17T09:00:00Z,W,2,1,3,90
BOU,MC,28,2019-08-25T08:00:00Z,L,1,3,0,90
BOU,LC,34,2019-08-31T09:00:00Z,L,1,3,0,90
BOU,EVE,48,2019-09-15T08:00:00Z,W,3,1,3,90
BOU,SOU,51,2019-09-20T14:00:00Z,W,3,1,3,90
BOU,WHU,62,2019-09-28T09:00:00Z,D,2,2,1,90
BOU,ARS,77,2019-10-06T08:00:00Z,L,0,1,0,90
BOU,NOR,82,2019-10-19T09:00:00Z,D,0,0,1,90
BOU,WAT,94,2019-10-26T09:00:00Z,D,0,0,1,90
BOU,MU,101,2019-11-02T07:30:00Z,W,1,0,3,90
BOU,NEW,114,2019-11-09T09:00:00Z,L,1,2,0,90
BOU,WOL,122,2019-11-23T09:00:00Z,L,1,2,0,90
BOU,TOT,135,2019-11-30T09:00:00Z,L,2,3,0,90
BOU,CP,141,2019-12-03T13:30:00Z,L,0,1,0,90
BOU,LIV,152,2019-12-07T09:00:00Z,L,0,3,0,90
BOU,CHE,163,2019-12-14T09:00:00Z,W,1,0,3,90
BOU,BUR,172,2019-12-21T09:00:00Z,L,0,1,0,90
BOU,ARS,181,2019-12-26T09:00:00Z,D,1,1,1,90
BOU,BHA,190,2019-12-28T06:30:00Z,L,0,2,0,90
BOU,WHU,207,2020-01-01T11:30:00Z,L,0,4,0,90
BOU,WAT,218,2020-01-12T08:00:00Z,L,0,3,0,90
BOU,NOR,224,2020-01-18T09:00:00Z,L,0,1,0,90
BOU,BHA,230,2020-01-21T13:30:00Z,W,3,1,3,90
BOU,AVL,242,2020-02-01T09:00:00Z,W,2,1,3,90
BOU,SHU,253,2020-02-09T08:00:00Z,L,1,2,0,90
BOU,BUR,262,2020-02-22T09:00:00Z,L,0,3,0,90
BOU,CHE,273,2020-02-29T09:00:00Z,D,2,2,1,90
BOU,LIV,279,2020-03-07T06:30:00Z,L,1,2,0,90
BHA,WAT,6,2019-08-10T09:00:00Z,W,3,0,3,90
BHA,WHU,13,2019-08-17T09:00:00Z,D,1,1,1,90
BHA,SOU,23,2019-08-24T09:00:00Z,L,0,2,0,90
BHA,MC,35,2019-08-31T09:00:00Z,L,0,4,0,90
BHA,BUR,42,2019-09-14T09:00:00Z,D,1,1,1,90
BHA,NEW,56,2019-09-21T11:30:00Z,D,0,0,1,90
BHA,CHE,64,2019-09-28T09:00:00Z,L,0,2,0,90
BHA,TOT,71,2019-10-05T06:30:00Z,W,3,0,3,90
BHA,AVL,83,2019-10-19T09:00:00Z,L,1,2,0,90
BHA,EVE,93,2019-10-26T09:00:00Z,W,3,2,3,90
BHA,NOR,104,2019-11-02T10:00:00Z,W,2,0,3,90
BHA,MU,118,2019-11-10T08:00:00Z,L,1,3,0,90
BHA,LC,124,2019-11-23T09:00:00Z,L,0,2,0,90
BHA,LIV,134,2019-11-30T09:00:00Z,L,1,2,0,90
BHA,ARS,150,2019-12-05T14:15:00Z,W,2,1,3,90
BHA,WOL,159,2019-12-08T10:30:00Z,D,2,2,1,90
BHA,CP,170,2019-12-16T13:45:00Z,D,1,1,1,90
BHA,SHU,174,2019-12-21T09:00:00Z,L,0,1,0,90
BHA,TOT,180,2019-12-26T06:30:00Z,L,1,2,0,90
BHA,BOU,190,2019-12-28T06:30:00Z,W,2,0,3,90
BHA,CHE,200,2020-01-01T06:30:00Z,D,1,1,1,90
BHA,EVE,213,2020-01-11T09:00:00Z,L,0,1,0,90
BHA,AVL,222,2020-01-18T09:00:00Z,D,1,1,1,90
BHA,BOU,230,2020-01-21T13:30:00Z,L,1,3,0,90
BHA,WHU,247,2020-02-01T09:00:00Z,D,3,3,1,90
BHA,WAT,252,2020-02-08T11:30:00Z,D,1,1,1,90
BHA,SHU,264,2020-02-22T09:00:00Z,D,1,1,1,90
BHA,CP,272,2020-02-29T06:30:00Z,L,0,1,0,90
BHA,WOL,284,2020-03-07T09:00:00Z,D,0,0,1,90
BUR,SOU,4,2019-08-10T09:00:00Z,W,3,0,3,90
BUR,ARS,11,2019-08-17T06:30:00Z,L,1,2,0,90
BUR,WOL,30,2019-08-25T10:30:00Z,D,1,1,1,90
BUR,LIV,38,2019-08-31T11:30:00Z,L,0,3,0,90
BUR,BHA,42,2019-09-14T09:00:00Z,D,1,1,1,90
BUR,NOR,53,2019-09-21T09:00:00Z,W,2,0,3,90
BUR,AVL,63,2019-09-28T09:00:00Z,D,2,2,1,90
BUR,EVE,72,2019-10-05T09:00:00Z,W,1,0,3,90
BUR,LC,85,2019-10-19T09:00:00Z,L,1,2,0,90
BUR,CHE,96,2019-10-26T11:30:00Z,L,2,4,0,90
BUR,SHU,106,2019-11-02T10:00:00Z,L,0,3,0,90
BUR,WHU,113,2019-11-09T09:00:00Z,W,3,0,3,90
BUR,WAT,127,2019-11-23T09:00:00Z,W,3,0,3,90
BUR,CP,132,2019-11-30T09:00:00Z,L,0,2,0,90
BUR,MC,142,2019-12-03T14:15:00Z,L,1,4,0,90
BUR,TOT,153,2019-12-07T09:00:00Z,L,0,5,0,90
BUR,NEW,162,2019-12-14T09:00:00Z,W,1,0,3,90
BUR,BOU,172,2019-12-21T09:00:00Z,W,1,0,3,90
BUR,EVE,185,2019-12-26T09:00:00Z,L,0,1,0,90
BUR,MU,196,2019-12-28T13:45:00Z,L,0,2,0,90
BUR,AVL,201,2020-01-01T06:30:00Z,L,1,2,0,90
BUR,CHE,212,2020-01-11T09:00:00Z,L,0,3,0,90
BUR,LC,228,2020-01-19T08:00:00Z,W,2,1,3,90
BUR,MU,238,2020-01-22T14:15:00Z,W,2,0,3,90
BUR,ARS,249,2020-02-02T08:00:00Z,D,0,0,1,90
